---------- Office 2007 -------------
DocumentFormat.OpenXml.Office.Drawing.Y2021.OEmbed, DocumentFormat.OpenXml.Office.Drawing.Y2021.OEmbed
DocumentFormat.OpenXml.Office.Drawing.Y2021.ScriptLink, DocumentFormat.OpenXml.Office.Drawing.Y2021.ScriptLink
DocumentFormat.OpenXml.Office.PowerPoint.Y2021.M06.Main, DocumentFormat.OpenXml.Office.PowerPoint.Y2021.M06.Main
DocumentFormat.OpenXml.Office.Word.Y2020.OEmbed, DocumentFormat.OpenXml.Office.Word.Y2020.OEmbed
DocumentFormat.OpenXml.Office.SpreadSheetML.Y2021.ExtLinks2021, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2021.ExtLinks2021
DocumentFormat.OpenXml.Office.SpreadSheetML.Y2022.PivotRichData, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2022.PivotRichData
DocumentFormat.OpenXml.Office.SpreadSheetML.Y2022.PivotVersionInfo, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2022.PivotVersionInfo
DocumentFormat.OpenXml.Office.Comments.Y2020.Reactions, DocumentFormat.OpenXml.Office.Comments.Y2020.Reactions
DocumentFormat.OpenXml.Office.PowerPoint.Y2019.Main.Command, DocumentFormat.OpenXml.Office.PowerPoint.Y2019.Main.Command
DocumentFormat.OpenXml.Office.PowerPoint.Y2022.Main.Command, DocumentFormat.OpenXml.Office.PowerPoint.Y2022.Main.Command
